Field,Type,Description
type,integer,[type of message activity](#DOCS_RESOURCES_CHANNEL/message-object-message-activity-types)
party_id?,string,party_id from a [Rich Presence event](#DOCS_RICH_PRESENCE_HOW_TO/updating-presence-update-presence-payload-fields)
