Field,Type,Description
------,--------------------------------------------------------,-------------------------------------------------------------------------------------------
since,?integer,"unix time (in milliseconds) of when the client went idle, or null if the client is not idle"
game,?[activity](#DOCS_TOPICS_GATEWAY/activity-object) object,"null, or the user's new activity"
status,string,the user's new [status](#DOCS_TOPICS_GATEWAY/update-status-status-types)
afk,boolean,whether or not the client is afk
